Invoice_No,Date,Customer,City,Product,Quantity,Unit_Price,Amount_NPR,VAT_NPR,Total_NPR,Payment_Status
INV-20810104,2025-02-07,Janakpur Wholesale,Biratnagar,Food,49,3702.0,181398.0,23581.74,204979.74,Overdue
INV-20810105,2025-02-09,Biratnagar Enterprise,Bhaktapur,Stationery,13,4389.0,57057.0,7417.41,64474.41,Pending
INV-20810106,2025-02-11,Pokhara Mart,Kathmandu,Textile,33,2174.0,71742.0,9326.46,81068.45999999999,Paid
INV-20810107,2025-02-13,Annapurna Stores,Pokhara,Stationery,34,1109.0,37706.0,4901.78,42607.78,Pending
INV-20810108,2025-02-15,Biratnagar Enterprise,Biratnagar,Textile,41,5249.0,215209.0,27977.17,243186.16999999998,Paid
INV-20810109,2025-02-17,Lumbini Imports,Janakpur,Hardware,35,2560.0,89600.0,11648.0,101248.0,Paid
INV-20810110,2025-02-19,Annapurna Stores,Kathmandu,Electronics,1,5003.0,5003.0,650.39,5653.39,Overdue
INV-20810111,2025-02-21,Himalayan Traders,Bhaktapur,Stationery,21,1439.0,30219.0,3928.47,34147.47,Paid
INV-20810112,2025-02-23,Annapurna Stores,Lalitpur,Cosmetics,48,4168.0,200064.0,26008.32,226072.32,Paid
INV-20810113,2025-02-25,Pokhara Mart,Butwal,Food,6,4597.0,27582.0,3585.66,31167.66,Paid
INV-20810114,2025-02-27,Annapurna Stores,Hetauda,Hardware,28,583.0,16324.0,2122.12,18446.12,Paid
INV-20810115,2025-03-01,Himalayan Traders,Birgunj,Stationery,17,2961.0,50337.0,6543.81,56880.81,Paid
INV-20810116,2025-03-03,Pokhara Mart,Hetauda,Food,5,1272.0,6360.0,826.8,7186.8,Paid
INV-20810117,2025-03-05,Birgunj Cargo,Bhaktapur,Stationery,31,679.0,21049.0,2736.37,23785.37,Paid
INV-20810118,2025-03-07,Janakpur Wholesale,Nepalgunj,Textile,5,8416.0,42080.0,5470.4,47550.4,Overdue
INV-20810119,2025-03-09,Janakpur Wholesale,Nepalgunj,Stationery,38,2842.0,107996.0,14039.48,122035.48,Pending
INV-20810120,2025-03-11,Nepalgunj Goods,Lalitpur,Cosmetics,3,6912.0,20736.0,2695.68,23431.68,Paid
INV-20810121,2025-03-13,Birgunj Cargo,Birgunj,Stationery,23,2276.0,52348.0,6805.24,59153.24,Paid
INV-20810122,2025-03-15,Birgunj Cargo,Janakpur,Stationery,37,5841.0,216117.0,28095.21,244212.21,Paid
INV-20810123,2025-03-17,Annapurna Stores,Lalitpur,Cosmetics,37,6498.0,240426.0,31255.38,271681.38,Paid
INV-20810124,2025-03-19,Janakpur Wholesale,Hetauda,Hardware,10,5124.0,51240.0,6661.2,57901.2,Paid
INV-20810125,2025-03-21,Himalayan Traders,Lalitpur,Stationery,10,4088.0,40880.0,5314.4,46194.4,Pending
INV-20810126,2025-03-23,Kathmandu Distributors,Hetauda,Cosmetics,19,3589.0,68191.0,8864.83,77055.83,Paid
INV-20810127,2025-03-25,Kathmandu Distributors,Kathmandu,Food,17,3063.0,52071.0,6769.23,58840.229999999996,Paid
INV-20810128,2025-03-27,Pokhara Mart,Nepalgunj,Textile,21,7912.0,166152.0,21599.76,187751.76,Paid
INV-20810129,2025-03-29,Janakpur Wholesale,Kathmandu,Textile,14,7086.0,99204.0,12896.52,112100.52,Paid
INV-20810130,2025-03-31,Janakpur Wholesale,Butwal,Stationery,9,8208.0,73872.0,9603.36,83475.36,Overdue
INV-20810131,2025-04-02,Kathmandu Distributors,Birgunj,Hardware,46,1188.0,54648.0,7104.24,61752.24,Pending
INV-20810132,2025-04-04,Janakpur Wholesale,Janakpur,Hardware,1,6253.0,6253.0,812.89,7065.89,Paid
INV-20810133,2025-04-06,Annapurna Stores,Hetauda,Food,45,7985.0,359325.0,46712.25,406037.25,Overdue
INV-20810134,2025-04-08,Lumbini Imports,Janakpur,Stationery,13,1663.0,21619.0,2810.47,24429.47,Paid
INV-20810135,2025-04-10,Everest Suppliers,Hetauda,Textile,4,705.0,2820.0,366.6,3186.6,Overdue
INV-20810136,2025-04-12,Birgunj Cargo,Bhaktapur,Hardware,1,6338.0,6338.0,823.94,7161.9400000000005,Pending
INV-20810137,2025-04-14,Nepalgunj Goods,Lalitpur,Stationery,49,4947.0,242403.0,31512.39,273915.39,Paid
INV-20810138,2025-04-16,Pokhara Mart,Butwal,Hardware,40,7179.0,287160.0,37330.8,324490.8,Paid
INV-20810139,2025-04-18,Lumbini Imports,Nepalgunj,Cosmetics,32,1317.0,42144.0,5478.72,47622.72,Paid
INV-20810140,2025-04-20,Kathmandu Distributors,Hetauda,Hardware,34,6790.0,230860.0,30011.8,260871.8,Paid
INV-20810141,2025-04-22,Birgunj Cargo,Janakpur,Textile,28,1834.0,51352.0,6675.76,58027.76,Pending
INV-20810142,2025-04-24,Janakpur Wholesale,Butwal,Electronics,31,1517.0,47027.0,6113.51,53140.51,Paid
INV-20810143,2025-04-26,Nepalgunj Goods,Pokhara,Food,8,1522.0,12176.0,1582.88,13758.880000000001,Paid
INV-20810144,2025-04-28,Janakpur Wholesale,Pokhara,Food,39,6952.0,271128.0,35246.64,306374.64,Pending
INV-20810145,2025-04-30,Himalayan Traders,Kathmandu,Textile,26,5704.0,148304.0,19279.52,167583.52,Overdue
INV-20810146,2025-05-02,Himalayan Traders,Nepalgunj,Hardware,34,4518.0,153612.0,19969.56,173581.56,Paid
INV-20810147,2025-05-04,Nepalgunj Goods,Bhaktapur,Stationery,3,3146.0,9438.0,1226.94,10664.94,Paid
INV-20810148,2025-05-06,Nepalgunj Goods,Janakpur,Hardware,12,7475.0,89700.0,11661.0,101361.0,Paid
INV-20810149,2025-05-08,Kathmandu Distributors,Lalitpur,Textile,1,3427.0,3427.0,445.51,3872.51,Paid
INV-20810150,2025-05-10,Nepalgunj Goods,Lalitpur,Food,44,6969.0,306636.0,39862.68,346498.68,Overdue
INV-20810151,2025-05-12,Annapurna Stores,Janakpur,Hardware,5,3817.0,19085.0,2481.05,21566.05,Paid
INV-20810152,2025-05-14,Janakpur Wholesale,Birgunj,Food,30,3297.0,98910.0,12858.3,111768.3,Paid
INV-20810153,2025-05-16,Lumbini Imports,Bhaktapur,Stationery,30,4013.0,120390.0,15650.7,136040.7,Paid
INV-20810154,2025-05-18,Biratnagar Enterprise,Butwal,Food,17,2667.0,45339.0,5894.07,51233.07,Paid
INV-20810155,2025-05-20,Nepalgunj Goods,Hetauda,Food,48,6393.0,306864.0,39892.32,346756.32,Pending
INV-20810156,2025-05-22,Pokhara Mart,Birgunj,Electronics,47,4348.0,204356.0,26566.28,230922.28,Pending
INV-20810157,2025-05-24,Himalayan Traders,Hetauda,Electronics,23,2089.0,48047.0,6246.11,54293.11,Paid
INV-20810158,2025-05-26,Annapurna Stores,Hetauda,Cosmetics,15,7661.0,114915.0,14938.95,129853.95,Paid
INV-20810159,2025-05-28,Birgunj Cargo,Birgunj,Electronics,37,3355.0,124135.0,16137.55,140272.55,Paid
INV-20810160,2025-05-30,Biratnagar Enterprise,Kathmandu,Food,21,4689.0,98469.0,12800.97,111269.97,Overdue
INV-20810161,2025-06-01,Lumbini Imports,Pokhara,Textile,14,7719.0,108066.0,14048.58,122114.58,Overdue
INV-20810162,2025-06-03,Biratnagar Enterprise,Hetauda,Food,2,5362.0,10724.0,1394.12,12118.119999999999,Paid
INV-20810163,2025-06-05,Nepalgunj Goods,Birgunj,Textile,11,1126.0,12386.0,1610.18,13996.18,Pending
INV-20810164,2025-06-07,Kathmandu Distributors,Birgunj,Textile,39,7998.0,311922.0,40549.86,352471.86,Pending
INV-20810165,2025-06-09,Himalayan Traders,Biratnagar,Electronics,38,5391.0,204858.0,26631.54,231489.54,Paid
INV-20810166,2025-06-11,Himalayan Traders,Kathmandu,Hardware,34,2946.0,100164.0,13021.32,113185.32,Overdue
INV-20810167,2025-06-13,Birgunj Cargo,Nepalgunj,Stationery,38,1313.0,49894.0,6486.22,56380.22,Paid
INV-20810168,2025-06-15,Kathmandu Distributors,Biratnagar,Electronics,34,6780.0,230520.0,29967.6,260487.6,Paid
INV-20810169,2025-06-17,Janakpur Wholesale,Biratnagar,Electronics,18,5328.0,95904.0,12467.52,108371.52,Paid
INV-20810170,2025-06-19,Everest Suppliers,Janakpur,Hardware,30,4604.0,138120.0,17955.6,156075.6,Paid
INV-20810171,2025-06-21,Annapurna Stores,Pokhara,Stationery,15,7614.0,114210.0,14847.3,129057.3,Paid
INV-20810172,2025-06-23,Himalayan Traders,Birgunj,Food,27,6735.0,181845.0,23639.85,205484.85,Pending
INV-20810173,2025-06-25,Pokhara Mart,Pokhara,Cosmetics,34,1416.0,48144.0,6258.72,54402.72,Paid
INV-20810174,2025-06-27,Himalayan Traders,Bhaktapur,Cosmetics,38,2753.0,104614.0,13599.82,118213.82,Pending
INV-20810175,2025-06-29,Biratnagar Enterprise,Janakpur,Food,33,2225.0,73425.0,9545.25,82970.25,Paid
INV-20810176,2025-07-01,Himalayan Traders,Nepalgunj,Electronics,24,6362.0,152688.0,19849.44,172537.44,Paid
INV-20810177,2025-07-03,Himalayan Traders,Pokhara,Stationery,15,430.0,6450.0,838.5,7288.5,Paid
INV-20810178,2025-07-05,Everest Suppliers,Lalitpur,Electronics,30,4909.0,147270.0,19145.1,166415.1,Paid
INV-20810179,2025-07-07,Everest Suppliers,Hetauda,Textile,42,6517.0,273714.0,35582.82,309296.82,Pending
INV-20810180,2025-07-09,Lumbini Imports,Bhaktapur,Electronics,17,7471.0,127007.0,16510.91,143517.91,Paid
INV-20810181,2025-07-11,Janakpur Wholesale,Kathmandu,Electronics,5,3006.0,15030.0,1953.9,16983.9,Paid
INV-20810182,2025-07-13,Pokhara Mart,Nepalgunj,Food,29,7007.0,203203.0,26416.39,229619.39,Paid
INV-20810183,2025-07-15,Himalayan Traders,Bhaktapur,Food,4,1074.0,4296.0,558.48,4854.48,Pending
INV-20810184,2025-07-17,Himalayan Traders,Hetauda,Food,10,7218.0,72180.0,9383.4,81563.4,Overdue
INV-20810185,2025-07-19,Annapurna Stores,Janakpur,Cosmetics,17,1215.0,20655.0,2685.15,23340.15,Pending
INV-20810186,2025-07-21,Everest Suppliers,Hetauda,Textile,10,3467.0,34670.0,4507.1,39177.1,Paid
INV-20810187,2025-07-23,Pokhara Mart,Biratnagar,Food,17,6807.0,115719.0,15043.47,130762.47,Paid
INV-20810188,2025-07-25,Birgunj Cargo,Hetauda,Stationery,20,1402.0,28040.0,3645.2,31685.2,Paid
INV-20810189,2025-07-27,Lumbini Imports,Biratnagar,Cosmetics,24,2064.0,49536.0,6439.68,55975.68,Paid
INV-20810190,2025-07-29,Janakpur Wholesale,Janakpur,Hardware,5,6181.0,30905.0,4017.65,34922.65,Paid
INV-20810191,2025-07-31,Kathmandu Distributors,Butwal,Stationery,34,6162.0,209508.0,27236.04,236744.04,Paid
INV-20810192,2025-08-02,Janakpur Wholesale,Biratnagar,Stationery,6,5504.0,33024.0,4293.12,37317.12,Paid
INV-20810193,2025-08-04,Biratnagar Enterprise,Kathmandu,Food,2,5944.0,11888.0,1545.44,13433.44,Paid
INV-20810194,2025-08-06,Himalayan Traders,Hetauda,Hardware,13,4682.0,60866.0,7912.58,68778.58,Pending
INV-20810195,2025-08-08,Lumbini Imports,Hetauda,Hardware,43,2253.0,96879.0,12594.27,109473.27,Paid
INV-20810196,2025-08-10,Biratnagar Enterprise,Kathmandu,Cosmetics,43,3037.0,130591.0,16976.83,147567.83000000002,Paid
INV-20810197,2025-08-12,Pokhara Mart,Lalitpur,Hardware,48,1666.0,79968.0,10395.84,90363.84,Pending
INV-20810198,2025-08-14,Kathmandu Distributors,Birgunj,Textile,11,7736.0,85096.0,11062.48,96158.48,Paid
INV-20810199,2025-08-16,Everest Suppliers,Butwal,Food,47,5021.0,235987.0,30678.31,266665.31,Pending
INV-20810200,2025-08-18,Lumbini Imports,Nepalgunj,Hardware,23,3497.0,80431.0,10456.03,90887.03,Paid
