invoice_no,date,vendor_code,vendor_name,amount,vat,approval_status
PI/2081/2038,2081-07-10,V011,Kathmandu Steel Supplier P. Ltd.,87338,11354,Approved
PI/2081/2039,2081-06-04,V001,Kathmandu Steel Suppliers Pvt. Ltd.,1303736,169486,Sole-source
PI/2081/2040,2081-12-27,V003,Everest Office Supplies,1057988,137538,Approved
PI/2081/2041,2081-11-11,V005,Himalayan IT Services,328256,42673,Approved
PI/2081/2042,2081-08-15,V011,Kathmandu Steel Supplier P. Ltd.,1066732,138675,Sole-source
PI/2081/2043,2081-05-26,V009,Karnali Construction,753470,97951,Approved
PI/2081/2044,2081-07-21,V006,Lumbini Packaging Industries,902142,117278,Pending
PI/2081/2045,2081-08-30,V007,Bagmati Power & Fuel,1392201,180986,Approved
PI/2081/2046,2082-01-03,V010,Himal Family Enterprises,984672,128007,Approved
PI/2081/2047,2081-09-18,V012,Mt. Everest Office Supply,343107,44604,Approved
PI/2081/2048,2081-10-31,V010,Himal Family Enterprises,794407,103273,Approved
PI/2081/2049,2081-10-21,V010,Himal Family Enterprises,1099757,142968,Approved
PI/2081/2050,2081-06-03,V001,Kathmandu Steel Suppliers Pvt. Ltd.,707559,91983,Approved
PI/2081/2051,2081-08-09,V007,Bagmati Power & Fuel,441217,57358,Approved
PI/2081/2052,2081-08-30,V005,Himalayan IT Services,410899,53417,Approved
PI/2081/2053,2082-01-02,V001,Kathmandu Steel Suppliers Pvt. Ltd.,1031869,134143,Approved
PI/2081/2054,2081-05-29,V007,Bagmati Power & Fuel,1001938,130252,Approved
PI/2081/2055,2082-02-03,V001,Kathmandu Steel Suppliers Pvt. Ltd.,570296,74138,Pending
PI/2081/2056,2081-09-24,V005,Himalayan IT Services,1261365,163977,Sole-source
PI/2081/2057,2081-12-12,V009,Karnali Construction,1354945,176143,Approved
PI/2081/2058,2081-10-19,V011,Kathmandu Steel Supplier P. Ltd.,1208733,157135,Pending
PI/2081/2059,2081-04-11,V001,Kathmandu Steel Suppliers Pvt. Ltd.,566021,73583,Sole-source
PI/2081/2060,2082-01-19,V012,Mt. Everest Office Supply,1188454,154499,Approved
PI/2081/2061,2081-04-23,V008,Janakpur Spares & Tools,341203,44356,Approved
PI/2081/2062,2082-01-11,V002,Pokhara Logistics Co.,724781,94222,Approved
PI/2081/2063,2081-07-10,V003,Everest Office Supplies,377961,49135,Approved
PI/2081/2064,2081-07-25,V011,Kathmandu Steel Supplier P. Ltd.,1136703,147771,Approved
PI/2081/2065,2082-01-04,V011,Kathmandu Steel Supplier P. Ltd.,838220,108969,Approved
PI/2081/2066,2081-11-14,V006,Lumbini Packaging Industries,900113,117015,Approved
PI/2081/2067,2081-07-08,V003,Everest Office Supplies,593492,77154,Approved
PI/2081/2068,2081-10-07,V006,Lumbini Packaging Industries,545691,70940,Approved
PI/2081/2069,2081-04-22,V009,Karnali Construction,818178,106363,Approved
PI/2081/2070,2081-06-01,V007,Bagmati Power & Fuel,731799,95134,Approved
PI/2081/2071,2082-01-02,V012,Mt. Everest Office Supply,788768,102540,Pending
PI/2081/2072,2081-07-17,V001,Kathmandu Steel Suppliers Pvt. Ltd.,925150,120270,Approved
PI/2081/2073,2082-02-24,V012,Mt. Everest Office Supply,965319,125491,Sole-source
PI/2081/2074,2082-03-23,V004,Annapurna Holdings Pvt. Ltd.,732222,95189,Sole-source
PI/2081/2075,2081-05-05,V002,Pokhara Logistics Co.,1458043,189546,Approved
PI/2081/2076,2082-02-16,V011,Kathmandu Steel Supplier P. Ltd.,382033,49664,Approved
PI/2081/2077,2082-02-06,V008,Janakpur Spares & Tools,1070744,139197,Approved
PI/2081/2078,2081-12-26,V005,Himalayan IT Services,369050,47976,Approved
PI/2081/2079,2081-09-24,V009,Karnali Construction,361663,47016,Approved
PI/2081/2080,2082-02-05,V012,Mt. Everest Office Supply,40430,5256,Approved
PI/2081/2081,2082-01-18,V005,Himalayan IT Services,1000203,130026,Approved
PI/2081/2082,2081-12-14,V002,Pokhara Logistics Co.,304660,39606,Sole-source
PI/2081/2083,2081-06-25,V010,Himal Family Enterprises,742134,96477,Pending
PI/2081/2084,2081-11-25,V004,Annapurna Holdings Pvt. Ltd.,475995,61879,Approved
PI/2081/2085,2081-08-22,V006,Lumbini Packaging Industries,1371704,178322,Approved
PI/2081/2086,2081-04-20,V004,Annapurna Holdings Pvt. Ltd.,207963,27035,Approved
PI/2081/2087,2081-07-21,V003,Everest Office Supplies,834329,108463,Approved
PI/2081/2088,2081-09-10,V006,Lumbini Packaging Industries,424215,55148,Approved
PI/2081/2089,2081-05-23,V008,Janakpur Spares & Tools,1353223,175919,Approved
PI/2081/2090,2081-05-19,V006,Lumbini Packaging Industries,911839,118539,Approved
PI/2081/2091,2081-09-19,V011,Kathmandu Steel Supplier P. Ltd.,1483226,192819,Approved
PI/2081/2092,2081-04-12,V004,Annapurna Holdings Pvt. Ltd.,1081280,140566,Sole-source
PI/2081/2093,2082-03-14,V002,Pokhara Logistics Co.,169264,22004,Approved
PI/2081/2094,2081-12-22,V009,Karnali Construction,973004,126491,Approved
PI/2081/2095,2082-01-04,V004,Annapurna Holdings Pvt. Ltd.,1483718,192883,Approved
PI/2081/2096,2081-04-11,V001,Kathmandu Steel Suppliers Pvt. Ltd.,292331,38003,Sole-source
PI/2081/2097,2081-08-19,V003,Everest Office Supplies,795969,103476,Pending
PI/2081/2098,2081-10-10,V001,Kathmandu Steel Suppliers Pvt. Ltd.,1002666,130347,Approved
PI/2081/2099,2081-07-31,V008,Janakpur Spares & Tools,997915,129729,Sole-source
PI/2081/2010,2082-01-11,V011,Kathmandu Steel Supplier P. Ltd.,227493,29574,Approved
PI/2081/2025,2081-04-24,V002,Pokhara Logistics Co.,952981,123888,Approved
PI/2081/9101,2082-02-28,V004,Annapurna Holdings Pvt. Ltd.,2000000,260000,Approved
PI/2081/9102,2082-03-15,V010,Himal Family Enterprises,500000,65000,Sole-source
